vehicle_id,last_updated,previous_stop,next_stop,origin_stop,destination_stop,lat,lon,route
2367,2025-11-13T13:12:15-06:00,Unknown,Lincoln and Kettering Park,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.13235,-88.217833,ILLINI South
2020,2025-11-13T13:12:27-06:00,LAR,Unknown,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.1022,-88.2192,ILLINI South
2018,2025-11-13T13:12:27-06:00,Green and Goodwin,Transit Plaza,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.110317,-88.228233,ILLINI South
2260,2025-11-13T13:12:24-06:00,Lincoln and Kettering Park,ONYX Apartments,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.128067,-88.2196,ILLINI South
2261,2025-11-13T13:12:27-06:00,First and Stadium,First and Armory,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.10255,-88.238583,ILLINI North
2022,2025-11-13T13:12:21-06:00,Armory and Wright,Illini Union,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.105983,-88.228783,ILLINI North
2365,2025-11-13T13:12:27-06:00,LAR,Lincoln and Illinois,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.106933,-88.21915,ILLINI North
2263,2025-11-13T13:12:15-06:00,Unknown,First and Armory,First and Gregory,Kettering and Linview,40.0989,-88.233433,ILLINI NORTH
2017,2025-11-13T13:12:21-06:00,Fifth and Chalmers,Third and Daniel,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.106867,-88.23325,ILLINI South
2105,2025-11-13T13:07:51-06:00,Unknown,Wright and Chalmers,Transit Plaza,LAR,40.102667,-88.240083,ILLINI SOUTH
2367,2025-11-13T13:12:15-06:00,Unknown,Lincoln and Kettering Park,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.13235,-88.217833,ILLINI South
2020,2025-11-13T13:13:51-06:00,LAR,Unknown,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.0995,-88.220583,ILLINI South
2018,2025-11-13T13:13:42-06:00,Illini Union,Wright and Chalmers,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.1084,-88.228883,ILLINI South
2260,2025-11-13T13:13:54-06:00,LINC Apartments,Lincoln and Wascher,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.12535,-88.21955,ILLINI South
2261,2025-11-13T13:13:42-06:00,First and Armory,Third and Daniel,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.107217,-88.238667,ILLINI North
2022,2025-11-13T13:13:54-06:00,Transit Plaza,Goodwin at Materials Research,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.108967,-88.228867,ILLINI North
2365,2025-11-13T13:13:42-06:00,Lincoln and Illinois,Chemical and Life Sciences,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.10905,-88.22125,ILLINI North
2263,2025-11-13T13:12:30-06:00,Unknown,First and Armory,First and Gregory,Kettering and Linview,40.09875,-88.23345,ILLINI NORTH
2017,2025-11-13T13:13:48-06:00,Third and Daniel,First and Armory,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.107967,-88.23685,ILLINI South
2105,2025-11-13T13:07:51-06:00,Unknown,Wright and Chalmers,Transit Plaza,LAR,40.102667,-88.240083,ILLINI SOUTH
2367,2025-11-13T13:20:33-06:00,Unknown,Lincoln and Kettering Park,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.132433,-88.219283,ILLINI South
2020,2025-11-13T13:20:36-06:00,Unknown,Pennsylvania and Maryland Dr.,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.099483,-88.220933,ILLINI North
2018,2025-11-13T13:20:39-06:00,First and Gregory,Activities and Recreation,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.103783,-88.238683,ILLINI South
2260,2025-11-13T13:20:33-06:00,Green and Goodwin,Transit Plaza,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.11055,-88.2251,ILLINI South
2261,2025-11-13T13:20:33-06:00,Transit Plaza,Goodwin at Materials Research,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.110167,-88.228817,ILLINI North
2022,2025-11-13T13:20:36-06:00,Goodwin and Main,Lincoln and Church,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.11625,-88.22395,ILLINI North
2365,2025-11-13T13:20:42-06:00,Gregory at Library,Fourth and Peabody,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.103533,-88.2335,ILLINI North
2263,2025-11-13T13:20:39-06:00,First and Gregory,First and Daniel,First and Gregory,Kettering and Linview,40.105617,-88.238583,ILLINI NORTH
2017,2025-11-13T13:20:36-06:00,Fourth and Gregory,Gregory at Mumford Hall,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.104117,-88.228467,ILLINI South
2105,2025-11-13T13:20:39-06:00,Unknown,Wright and Chalmers,Transit Plaza,LAR,40.1163,-88.234067,ILLINI SOUTH
2367,2025-11-13T13:21:30-06:00,Lincoln and Killarney,LINC Apartments,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.131233,-88.219617,ILLINI South
2020,2025-11-13T13:21:36-06:00,Unknown,Pennsylvania and Maryland Dr.,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.099483,-88.220933,ILLINI North
2018,2025-11-13T13:21:39-06:00,First and Stadium,Fourth and Peabody,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.101417,-88.237317,ILLINI South
