vehicle_id,previous_stop_id,next_stop_id,origin_stop_id,destination_stop_id,last_updated,lat,lon,route
2422,PKCNTRL:1,CLRCHCH:1,UNICTGRV:1,IT:1,2025-11-12T16:15:45-06:00,40.117417,-88.212567,ORANGEHOPPER West
2429,1STSTDM:4,E14:1,WALMART:2,SWALMART:1,2025-11-12T16:15:42-06:00,40.1012,-88.238633,YELLOW South
1351,MYFRTDR:2,BDMRLSDED:1,DVNMYFR:3,LSE:8,2025-11-12T16:15:33-06:00,40.09044,-88.271833,GOLD East
2043,HRISBLOM:2,BLOMHILND:1,IT:2,INTRSRCH:1,2025-11-12T16:15:39-06:00,40.131083,-88.25535,LAVENDER North
1348,FRVWBUSEY:3,CLRCHCH:4,PKLN:1,UWALMART:2,2025-11-12T16:15:42-06:00,40.120017,-88.22075,GREY East
2202,,BRADCLTN:6,PKLN:1,PKLN:1,2025-11-12T16:15:42-06:00,40.131583,-88.2881,BROWN A
2365,LNCLNCHCH:7,GWNCLK:4,LNCLNKLRNY:1,PAR:2,2025-11-12T16:15:42-06:00,40.116717,-88.219467,ILLINI South
1716,MNSMITH:1,MNILEAS:2,UWALMART:2,PKLN:1,2025-11-12T16:15:36-06:00,40.113,-88.1814,GREY West
2022,CHEMLS:1,GWNGRG:9,PAR:2,LNCLNKLRNY:1,2025-11-12T16:15:42-06:00,40.1061,-88.2239,ILLINI North
2416,E14:2,FOXSTE:1,PKLN:1,PKLN:1,2025-11-12T16:15:36-06:00,40.094467,-88.244117,BROWN A
2415,MPLPKSANG:2,MPLPKWLM:2,WSFLDLWNDL:4,RNDBRNRD:2,2025-11-12T16:15:33-06:00,40.103817,-88.29435,GREEN East
1350,WLNTLGN:1,MNFREMNT:1,UWALMART:2,PKLN:1,2025-11-12T16:15:36-06:00,40.115837,-88.242833,GREY West
2262,1STSTDM:2,1STARY:5,PAR:2,LNCLNKLRNY:1,2025-11-12T16:15:36-06:00,40.102883,-88.2386,ILLINI North
1721,PLAJOANE:3,PLAKIRK:3,INTRSRCH:1,IT:2,2025-11-12T16:15:45-06:00,40.133017,-88.27095,LAVENDER South
1611,CBLFLDBDGPT:4,CTSMDWSTLY:4,RNDBRNRD:2,RNDBRNRD:2,2025-11-12T16:15:39-06:00,40.098683,-88.30945,PINK B
2424,SPFLDNEW:1,SPFLDWLS:1,WASHLRMN:7,PKLN:1,2025-11-12T16:15:39-06:00,40.112667,-88.2549,GREENHOPPER West
2201,WHT1ST:1,WLNTLGN:1,PKLN:1,PKLN:1,2025-11-12T16:15:39-06:00,40.115567,-88.238683,BROWN B
2145,WHITESTR:1,WRTHLY:4,WALMART:2,LSE:1,2025-11-12T16:15:45-06:00,40.114433,-88.2293,RED Urbana
1938,BRADCFD:3,CFDCONE:7,PKLN:1,WASHLRMN:7,2025-11-12T16:15:39-06:00,40.125967,-88.280217,GREENHOPPER East
1718,LSE:1,UNIVIN:2,IT:1,UNICTGRV:9,2025-11-12T16:15:33-06:00,40.111633,-88.208333,ORANGEHOPPER EAST
1836,PA6TH:1,6THGRG:2,PA6TH:1,STNCRKSTLWTR:1,2025-11-12T16:14:51-06:00,40.100667,-88.2258,GREEN East
2428,WDSRWNCH:1,WDSRCHHL:1,RNDBRNRD:1,RNDBRNRD:1,2025-11-12T16:15:45-06:00,40.083883,-88.288083,PINK A
2430,,SPFLDBRCH:1,LSE:8,DVNMYFR:3,2025-11-12T16:15:45-06:00,40.111633,-88.20805,GOLD West
2426,WASHLRMN:2,WASHRAIN:3,IT:1,MNBRDY:2,2025-11-12T16:15:45-06:00,40.105633,-88.188183,GREEN EAST
2105,ANTNSHR:1,ANTNWH:1,LNCLNKLRNY:2,PAR:2,2025-11-12T16:15:39-06:00,40.13655,-88.223783,ILLINI South
2104,PLAZA:4,GDWNMRL:2,PAR:2,LNCLNKLRNY:2,2025-11-12T16:15:45-06:00,40.110333,-88.227233,ILLINI North
2148,UNI6TH:3,PKRMN:3,RNDBRNRD:2,150DOD:5,2025-11-12T16:15:39-06:00,40.116367,-88.229117,ORANGE East
2146,SPFLDBSY:1,SPFLDHVY:1,LSE:8,PAR:2,2025-11-12T16:15:42-06:00,40.11285,-88.219283,SILVER South
2020,ANTDOBB:2,PLAGH:3,DEPOT:1,PLAMCNLY:3,2025-11-12T16:15:42-06:00,40.140283,-88.277283,YELLOW ALT NORTH
2041,RACEMDW:4,RACEMUMFRD:4,IT:5,ODSS:1,2025-11-12T16:15:42-06:00,40.094867,-88.209633,TEAL East
2436,,KBYOAK:2,E14:2,LSE:8,2025-11-12T16:15:42-06:00,40.095683,-88.24055,GOLDHOPPER East
2435,WHITESTR:1,WRTHLY:4,IT:5,E14:2,2025-11-12T16:15:45-06:00,40.114433,-88.2291,YELLOWHOPPER South
2017,LNCLNOR:4,PAR:2,LNCLNKLRNY:1,PAR:2,2025-11-12T16:15:39-06:00,40.1062,-88.21925,ILLINI South
2433,RACEMN:2,VINGRN:4,PKLN:1,WASHLRMN:7,2025-11-12T16:15:33-06:00,40.11195,-88.207483,GREENHOPPER East
2312,IT:5,WHT2ND:3,IT:5,ODSS:1,2025-11-12T16:15:45-06:00,40.1149,-88.241583,TEAL East
2419,WRTCHAL:4,4THGRG:7,UNIWRT:2,ISWS:2,2025-11-12T16:15:42-06:00,40.10565,-88.230317,LINK South
2439,VINGRN:2,GRNRACE:4,WASHLRMN:7,PKLN:1,2025-11-12T16:15:45-06:00,40.111683,-88.205683,GREENHOPPER West
1724,IT:5,,,,2025-11-12T16:15:09-06:00,40.11535,-88.2415,Not available
1612,KBYOAK:2,1STGRG:2,E14:2,IT:5,2025-11-12T16:15:36-06:00,40.10235,-88.238583,YELLOWHOPPER North
2423,GRGLIB:2,1STGRG:1,PKNSEAST:1,E14:2,2025-11-12T16:15:39-06:00,40.104167,-88.2332,GOLD West
1730,,PAMD:2,PAR:2,LSE:8,2025-11-12T16:12:30-06:00,40.100567,-88.221033,SILVER North
2147,BDWYCCR:2,CCRWLLW:3,E14:2,PKNSEAST:2,2025-11-12T16:15:42-06:00,40.12745,-88.206433,GOLD East
2421,GWNGRG:9,PSL:1,VETMED:1,VETMED:1,2025-11-12T16:15:42-06:00,40.104583,-88.223883,RAVEN N/A
2364,PAR:2,PSL:2,PAR:2,IT:5,2025-11-12T16:15:39-06:00,40.099083,-88.219483,TEAL West
2438,GRNGWN:8,GRN6TH:1,MNBRDY:2,WSFLDLWNDL:4,2025-11-12T16:15:36-06:00,40.110517,-88.227383,GREEN West
2431,1STSTDM:4,,IT:5,E14:2,2025-11-12T16:15:36-06:00,40.102417,-88.23865,YELLOWHOPPER South
1355,GRNLYN:1,GRNMPL:1,WALMART:2,LSE:1,2025-11-12T16:15:42-06:00,40.110883,-88.199083,RED Urbana
1354,IETC:2,WMBGGH:3,PKLN:1,UWALMART:2,2025-11-12T16:15:45-06:00,40.13091,-88.27325,GREY East
1714,PDKELOTB:2,,CE:9,ASHTON:2,2025-11-12T16:15:36-06:00,40.09055,-88.21895,BROWN ALT PM A
2260,3RDDAN:8,1STARY:4,LNCLNKLRNY:1,PAR:2,2025-11-12T16:15:45-06:00,40.107933,-88.23845,ILLINI South
1722,NEILHIL:4,MNCHSNT:3,WALMART:2,SWALMART:1,2025-11-12T16:15:42-06:00,40.117833,-88.242233,YELLOW South
1720,STESPFLD:3,RNDLFWHT:2,WSFLDLWNDL:4,MNBRDY:2,2025-11-12T16:15:42-06:00,40.112567,-88.24525,GREEN East
1728,JOHNFRANK:3,,IT:1,RNDBRNRD:2,2025-11-12T16:15:45-06:00,40.110983,-88.276733,BLUE West
2417,1STGRG:2,5THARY:3,SWALMART:1,WALMART:2,2025-11-12T16:15:39-06:00,40.104083,-88.236833,YELLOW North
2306,WNCHSMR:4,WNCHBKTRN:4,PKLN:1,PKLN:1,2025-11-12T16:15:45-06:00,40.091133,-88.28165,BROWN B
1734,PHILOSLVR:3,MHRYPHILO:4,LSE:1,WALMART:2,2025-11-12T16:15:39-06:00,40.091467,-88.190817,RED Champaign
2305,GRN1ST:2,WHT1ST:2,CATFS:2,IT:2,2025-11-12T16:15:36-06:00,40.111,-88.23865,NAVY East
2149,CRTSWNSTN:3,,,,2025-11-12T16:15:45-06:00,40.08355,-88.222333,Not available
2420,CHCHNEIL:8,CHCHPRRE:1,UNICTGRV:9,RNDBRNRD:2,2025-11-12T16:15:36-06:00,40.1183,-88.24605,ORANGE West
